#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-11-19T00:44:25 [V7.5.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-11-19T00:44:25	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_RAJ,_DEJ&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/MNRAS/505/5978/tablea1&-order=I&-out=Name&-out=OName&-out=RAJ2000&-out=DEJ2000&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=corr&-out=plx&-out=e_plx&-out=Rscale&-out=Nstar&-out=SimbadName&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75055978
#Name: J/MNRAS/505/5978
#Title: Gaia EDR3 view on Galactic globular clusters (Vasiliev+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/mnras/505/5978	    IVOID of underlying data collection
#INFO	creator=Vasiliev E.	    First author or institution
#INFO	cites=bibcode:2021MNRAS.505.5978V	    Article or Data origin sources
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/505/5978	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.75055978	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_505_5978_tablea1:
#Name: J/MNRAS/505/5978/tablea1
#Title: The catalogue of cluster proper motions
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000. (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000. (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Name	(a12)	Common name, NGC identifier, etc.	[ucd=meta.id;meta.main]
#Column	OName	(a10)	Other name	[ucd=meta.id]
#Column	RAJ2000	(F7.3)	Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F7.3)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F7.3)	Proper motion in right ascension, pmRA*cosDE	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F7.3)	Uncertainty (including systematic) in pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F7.3)	Proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F7.3)	Uncertainty (including systematic) in pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	corr	(F7.2)	Correlation coefficient between uncertainties	[ucd=stat.fit.param]
#Column	plx	(F7.3)	Parallax	[ucd=pos.parallax.trig]
#Column	e_plx	(F7.3)	Uncertainty (including systematic) in plx	[ucd=stat.error;pos.parallax]
#Column	Rscale	(F7.2)	Scale radius of Gaia-detected cluster members	[ucd=phys.angSize]
#Column	Nstar	(I5)	Number of Gaia-detected cluster member stars	[ucd=meta.number]
#Column	SimbadName	(a26)	Simbad column added by the CDS	[ucd=meta.id]
_RAJ2000;_DEJ2000;Name;OName;RAJ2000;DEJ2000;pmRA;e_pmRA;pmDE;e_pmDE;corr;plx;e_plx;Rscale;Nstar;SimbadName
deg;deg; ; ;deg;deg;mas/yr;mas/yr;mas/yr;mas/yr; ;mas;mas;arcmin; ;
---------;---------;------------;----------;-------;-------;-------;-------;-------;-------;-------;-------;-------;-------;-----;--------------------------
006.02400;-72.08100;NGC 104     ;47 Tuc    ;006.024;-72.081;  5.252;  0.021; -2.551;  0.021;   0.00;  0.232;  0.009;  10.03;39932;NGC 104
013.18800;-26.58300;NGC 288     ;          ;013.188;-26.583;  4.164;  0.024; -5.705;  0.024;   0.01;  0.141;  0.011;   2.79; 4689;NGC 288
015.80900;-70.84900;NGC 362     ;          ;015.809;-70.849;  6.694;  0.025; -2.535;  0.024;   0.00;  0.114;  0.011;   3.37; 3878;NGC 362
030.73700;-03.25300;Whiting 1   ;          ;030.737;-03.253; -0.228;  0.065; -2.046;  0.056;   0.03;  0.017;  0.047;   0.52;   40;Whiting 1
048.06800;-55.21600;NGC 1261    ;          ;048.068;-55.216;  1.596;  0.025; -2.064;  0.025;   0.01;  0.068;  0.011;   1.73; 1218;NGC 1261
053.33300;+79.58100;Pal 1       ;          ;053.333;+79.581; -0.252;  0.034;  0.007;  0.037;   0.08;  0.112;  0.023;   0.54;   92;Pal 1
058.76000;-49.61500;E 1         ;AM 1      ;058.760;-49.615;  0.291;  0.107; -0.177;  0.086;  -0.22; -0.015;  0.062;   0.36;   58;E 1
066.18500;-21.18700;Eridanus    ;          ;066.185;-21.187;  0.510;  0.039; -0.301;  0.041;  -0.09;  0.050;  0.033;   0.52;   44;NAME Eridanus Star Cluster
071.52500;+31.38100;Pal 2       ;          ;071.525;+31.381;  1.045;  0.034; -1.522;  0.031;   0.04;  0.042;  0.021;   0.64;  180;Pal 2
078.52800;-40.04700;NGC 1851    ;          ;078.528;-40.047;  2.145;  0.024; -0.650;  0.024;  -0.02;  0.088;  0.011;   2.59; 2497;NGC 1851
081.04400;-24.52400;NGC 1904    ;M 79      ;081.044;-24.524;  2.469;  0.025; -1.594;  0.025;   0.00;  0.088;  0.011;   1.90; 1556;NGC 1904
102.24800;-36.00500;NGC 2298    ;          ;102.248;-36.005;  3.320;  0.025; -2.175;  0.026;   0.01;  0.121;  0.011;   1.39; 1047;NGC 2298
114.53500;+38.88200;NGC 2419    ;          ;114.535;+38.882;  0.007;  0.028; -0.523;  0.026;   0.03;  0.003;  0.017;   1.12;  333;NGC 2419
119.57100;+26.25500;Ko 2        ;          ;119.571;+26.255; -0.601;  0.189; -0.025;  0.129;  -0.24;  0.393;  0.163;   1.57;    7;Koposov 2
136.99100;-37.22100;Pyxis       ;          ;136.991;-37.221;  1.030;  0.032;  0.138;  0.035;   0.03;  0.016;  0.022;   2.06;   69;NAME Pyxis Cluster
138.01300;-64.86300;NGC 2808    ;          ;138.013;-64.863;  0.994;  0.024;  0.273;  0.024;  -0.01;  0.112;  0.010;   4.08; 4740;NGC 2808
140.23800;-77.28200;E 3         ;ESO 37-1  ;140.238;-77.282; -2.727;  0.027;  7.083;  0.027;   0.00;  0.146;  0.013;   1.70;  252;E 3
151.38300;+00.07200;Pal 3       ;          ;151.383;+00.072;  0.086;  0.060; -0.148;  0.071;  -0.41; -0.001;  0.050;   0.71;   61;Pal 3
154.40300;-46.41200;NGC 3201    ;          ;154.403;-46.412;  8.348;  0.022; -1.958;  0.022;   0.00;  0.222;  0.010;   5.61;11398;NGC 3201
169.92500;-65.22000;ESO 93-8    ;          ;169.925;-65.220; -4.068;  0.033;  1.400;  0.034;  -0.01;  0.101;  0.018;   0.56;   32;ESO 93-8
172.32000;+28.97400;Pal 4       ;          ;172.320;+28.974; -0.188;  0.042; -0.476;  0.041;  -0.14; -0.025;  0.033;   0.53;   96;Pal 4
174.06700;-10.87700;Crater      ;Laevens 1 ;174.067;-10.877; -0.059;  0.125; -0.116;  0.116;  -0.23;  0.003;  0.142;   0.51;   15;NAME Crater Cluster
177.51100;-41.77200;Bliss 1     ;          ;177.511;-41.772; -2.340;  0.042;  0.138;  0.038;  -0.16;  0.025;  0.039;   0.62;   10;
179.82700;+12.26000;Ko 1        ;          ;179.827;+12.260; -1.513;  0.135; -0.814;  0.105;  -0.21; -0.048;  0.133;   0.30;    6;Koposov 1
182.52600;+18.54300;NGC 4147    ;          ;182.526;+18.543; -1.707;  0.027; -2.090;  0.027;  -0.02;  0.029;  0.013;   0.89;  347;NGC 4147
186.43900;-72.65900;NGC 4372    ;          ;186.439;-72.659; -6.409;  0.024;  3.297;  0.024;   0.00;  0.187;  0.010;   4.44; 2552;NGC 4372
189.66700;-51.15000;Rup 106     ;          ;189.667;-51.150; -1.254;  0.026;  0.401;  0.026;   0.03;  0.067;  0.013;   1.23;  302;Rup 106
189.86700;-26.74400;NGC 4590    ;M 68      ;189.867;-26.744; -2.739;  0.024;  1.779;  0.024;   0.00;  0.113;  0.011;   2.61; 3284;NGC 4590
193.47300;-67.17700;BH 140      ;          ;193.473;-67.177;-14.848;  0.024;  1.224;  0.024;   0.00;  0.219;  0.011;   4.41; 1197;Cl VDBH 140
194.89100;-70.87700;NGC 4833    ;          ;194.891;-70.877; -8.377;  0.025; -0.963;  0.025;  -0.01;  0.164;  0.011;   3.22; 2941;NGC 4833
198.23000;+18.16800;NGC 5024    ;M 53      ;198.230;+18.168; -0.133;  0.024; -1.331;  0.024;   0.00;  0.067;  0.011;   3.02; 3398;NGC 5024
199.11300;+17.70000;NGC 5053    ;          ;199.113;+17.700; -0.329;  0.025; -1.213;  0.025;  -0.02;  0.050;  0.011;   2.32; 1453;NGC 5053
200.68800;-30.60100;Kim 3       ;          ;200.688;-30.601; -0.849;  0.178;  3.396;  0.140;  -0.12;  0.103;  0.159;   0.40;    9;Kim 3
201.69700;-47.48000;NGC 5139    ;omega Cen ;201.697;-47.480; -3.250;  0.022; -6.746;  0.022;   0.01;  0.193;  0.009;  14.62;53127;NGC 5139
205.54800;+28.37700;NGC 5272    ;M 3       ;205.548;+28.377; -0.152;  0.023; -2.670;  0.022;   0.00;  0.110;  0.010;   4.58; 8992;NGC 5272
206.61200;-51.37400;NGC 5286    ;          ;206.612;-51.374;  0.198;  0.025; -0.153;  0.025;   0.00;  0.088;  0.011;   2.50;  847;NGC 5286
209.09000;-27.16700;AM 4        ;          ;209.090;-27.167; -0.291;  0.445; -2.512;  0.344;  -0.36;  0.079;  0.343;   0.39;    8;AM 4
211.36400;+28.53400;NGC 5466    ;          ;211.364;+28.534; -5.342;  0.025; -0.822;  0.024;   0.01;  0.057;  0.011;   2.36; 2210;NGC 5466
217.40500;-05.97600;NGC 5634    ;          ;217.405;-05.976; -1.692;  0.027; -1.478;  0.026;  -0.01;  0.056;  0.012;   0.97;  339;NGC 5634
219.90100;-26.53900;NGC 5694    ;          ;219.901;-26.539; -0.464;  0.029; -1.105;  0.029;  -0.06;  0.034;  0.017;   0.76;  149;NGC 5694
225.07700;-82.21400;IC 4499     ;          ;225.077;-82.214;  0.466;  0.025; -0.489;  0.025;   0.01;  0.054;  0.011;   1.65;  589;IC 4499
225.45000;+66.96900;Munoz 1     ;          ;225.450;+66.969; -0.100;  0.203; -0.020;  0.207;  -0.23;  0.221;  0.136;   2.73;    5;Munoz 1
225.99400;-33.06800;NGC 5824    ;          ;225.994;-33.068; -1.189;  0.026; -2.234;  0.026;  -0.02;  0.057;  0.012;   1.51;  514;NGC 5824
229.01900;-00.12100;Pal 5       ;          ;229.019;-00.121; -2.730;  0.028; -2.654;  0.027;   0.00;  0.048;  0.015;   3.17;  233;Pal 5
229.35200;-21.01000;NGC 5897    ;          ;229.352;-21.010; -5.422;  0.025; -3.393;  0.025;  -0.01;  0.105;  0.011;   2.59; 2234;NGC 5897
229.63800;+02.08100;NGC 5904    ;M 5       ;229.638;+02.081;  4.086;  0.023; -9.870;  0.023;  -0.01;  0.141;  0.010;   5.28; 9163;NGC 5904
232.00300;-50.67300;NGC 5927    ;          ;232.003;-50.673; -5.056;  0.025; -3.217;  0.025;  -0.01;  0.127;  0.011;   4.45; 1304;NGC 5927
233.86900;-50.66000;NGC 5946    ;          ;233.869;-50.660; -5.331;  0.028; -1.657;  0.027;  -0.01;  0.112;  0.012;   1.39;  180;NGC 5946
234.78100;-50.05000;BH 176      ;          ;234.781;-50.050; -3.989;  0.029; -3.057;  0.029;  -0.02;  0.072;  0.018;   1.34;   90;Cl VDBH 176
236.51200;-37.78600;NGC 5986    ;          ;236.512;-37.786; -4.192;  0.026; -4.568;  0.026;  -0.01;  0.111;  0.011;   2.57; 1118;NGC 5986
242.62500;-53.74900;FSR 1716    ;          ;242.625;-53.749; -4.354;  0.033; -8.832;  0.031;   0.00;  0.108;  0.017;   1.96;   62;[FSR2007] 1716
242.75200;+14.95800;Pal 14      ;Arp 1     ;242.752;+14.958; -0.463;  0.038; -0.413;  0.038;   0.12;  0.035;  0.032;   1.61;   80;Pal 14
242.76500;-55.31800;BH 184      ;Lynga 7   ;242.765;-55.318; -3.851;  0.027; -7.050;  0.027;   0.02;  0.121;  0.012;   2.00;  147;Cl VDBH 184
244.26000;-22.97600;NGC 6093    ;M 80      ;244.260;-22.976; -2.934;  0.027; -5.578;  0.026;  -0.01;  0.102;  0.011;   2.29; 1247;NGC 6093
244.28600;-44.59300;Ryu 059     ;RLGC 1    ;244.286;-44.593;  1.022;  0.055;  0.770;  0.047;   0.01; -0.066;  0.046;   0.52;   77;Ryu 059
245.89700;-26.52600;NGC 6121    ;M 4       ;245.897;-26.526;-12.514;  0.023;-19.022;  0.023;  -0.02;  0.556;  0.010;   5.97; 5210;NGC 6121
246.45000;-72.20200;NGC 6101    ;          ;246.450;-72.202;  1.756;  0.024; -0.258;  0.025;   0.00;  0.084;  0.011;   2.51; 2421;NGC 6101
246.80800;-26.02300;NGC 6144    ;          ;246.808;-26.023; -1.744;  0.026; -2.607;  0.026;   0.00;  0.132;  0.011;   1.78; 1586;NGC 6144
246.91800;-38.84900;NGC 6139    ;          ;246.918;-38.849; -6.081;  0.027; -2.711;  0.026;   0.01;  0.112;  0.011;   1.86;  336;NGC 6139
247.16700;-35.35300;Terzan 3    ;          ;247.167;-35.353; -5.577;  0.027; -1.760;  0.026;   0.01;  0.133;  0.012;   2.28;  331;Terzan 3
248.13300;-13.05400;NGC 6171    ;M 107     ;248.133;-13.054; -1.939;  0.025; -5.979;  0.025;   0.00;  0.194;  0.011;   2.39; 1668;NGC 6171
249.85400;-28.39900;ESO 452-11  ;1636-283  ;249.854;-28.399; -1.423;  0.031; -6.472;  0.030;  -0.06;  0.162;  0.015;   0.62;  143;ESO 452-11
250.42200;+36.46000;NGC 6205    ;M 13      ;250.422;+36.460; -3.149;  0.023; -2.574;  0.023;  -0.01;  0.127;  0.010;   4.60; 9638;NGC 6205
251.74500;+47.52800;NGC 6229    ;          ;251.745;+47.528; -1.171;  0.026; -0.467;  0.027;   0.01;  0.041;  0.012;   0.90;  256;NGC 6229
251.80900;-01.94900;NGC 6218    ;M 12      ;251.809;-01.949; -0.191;  0.024; -6.802;  0.024;   0.01;  0.208;  0.011;   3.36; 6213;NGC 6218
253.04400;-47.05800;FSR 1735    ;          ;253.044;-47.058; -4.439;  0.054; -1.534;  0.048;  -0.05; -0.072;  0.035;   1.10;   56;[FSR2007] 1735
253.35500;-22.17700;NGC 6235    ;          ;253.355;-22.177; -3.931;  0.027; -7.587;  0.027;  -0.01;  0.089;  0.012;   1.32;  270;NGC 6235
254.28800;-04.10000;NGC 6254    ;M 10      ;254.288;-04.100; -4.758;  0.024; -6.597;  0.024;  -0.02;  0.196;  0.010;   4.14; 7269;NGC 6254
254.88600;-37.12100;NGC 6256    ;          ;254.886;-37.121; -3.715;  0.031; -1.637;  0.030;   0.00;  0.162;  0.013;   1.05;  102;NGC 6256
254.96300;-00.53900;Pal 15      ;          ;254.963;-00.539; -0.592;  0.037; -0.901;  0.034;   0.02;  0.024;  0.025;   1.53;  125;Pal 15
255.30300;-30.11400;NGC 6266    ;M 62      ;255.303;-30.114; -4.978;  0.026; -2.947;  0.026;   0.01;  0.185;  0.011;   5.87; 1100;NGC 6266
255.65700;-26.26800;NGC 6273    ;M 19      ;255.657;-26.268; -3.249;  0.026;  1.660;  0.025;   0.00;  0.142;  0.011;   3.64; 1435;NGC 6273
256.11900;-24.76500;NGC 6284    ;          ;256.119;-24.765; -3.200;  0.029; -2.002;  0.028;   0.00;  0.098;  0.012;   1.29;  152;NGC 6284
256.28800;-22.70800;NGC 6287    ;          ;256.288;-22.708; -5.010;  0.029; -1.883;  0.028;   0.01;  0.149;  0.013;   1.72;  201;NGC 6287
257.54300;-26.58200;NGC 6293    ;          ;257.543;-26.582;  0.870;  0.028; -4.326;  0.028;  -0.01;  0.127;  0.012;   1.80;  194;NGC 6293
258.63400;-29.46200;NGC 6304    ;          ;258.634;-29.462; -4.070;  0.029; -1.088;  0.028;   0.01;  0.169;  0.011;   2.11;  105;NGC 6304
259.15500;-28.14000;NGC 6316    ;          ;259.155;-28.140; -4.969;  0.031; -4.592;  0.030;   0.01;  0.113;  0.013;   1.51;   62;NGC 6316
259.28100;+43.13600;NGC 6341    ;M 92      ;259.281;+43.136; -4.935;  0.024; -0.625;  0.024;   0.00;  0.112;  0.010;   3.29; 4365;NGC 6341
259.49700;-23.76600;NGC 6325    ;          ;259.497;-23.766; -8.289;  0.030; -9.000;  0.029;   0.02;  0.162;  0.013;   1.21;  106;NGC 6325
259.79700;-18.51600;NGC 6333    ;M 9       ;259.797;-18.516; -2.180;  0.026; -3.222;  0.026;   0.02;  0.135;  0.011;   3.24;  803;NGC 6333
260.29200;-19.58700;NGC 6342    ;          ;260.292;-19.587; -2.903;  0.027; -7.116;  0.026;   0.00;  0.141;  0.012;   1.54;  194;NGC 6342
260.89600;-17.81300;NGC 6356    ;          ;260.896;-17.813; -3.750;  0.026; -3.392;  0.026;   0.00;  0.096;  0.012;   2.32;  441;NGC 6356
260.99400;-26.35300;NGC 6355    ;          ;260.994;-26.353; -4.738;  0.031; -0.572;  0.030;   0.02;  0.150;  0.012;   1.43;   63;NGC 6355
261.37100;-48.42200;NGC 6352    ;          ;261.371;-48.422; -2.158;  0.025; -4.447;  0.025;  -0.01;  0.190;  0.011;   2.99; 2335;NGC 6352
261.78500;-07.09300;IC 1257     ;          ;261.785;-07.093; -1.007;  0.040; -1.492;  0.032;   0.10;  0.057;  0.027;   0.36;   64;IC 1257
261.88800;-30.80200;Terzan 2    ;HP 3      ;261.888;-30.802; -2.170;  0.041; -6.263;  0.038;   0.05;  0.101;  0.025;   0.65;   63;Terzan 2
261.93400;-05.08000;NGC 6366    ;          ;261.934;-05.080; -0.332;  0.025; -5.160;  0.024;   0.01;  0.285;  0.011;   3.90; 1663;NGC 6366
262.66300;-31.59600;Terzan 4    ;HP 4      ;262.663;-31.596; -5.462;  0.060; -3.711;  0.048;   0.19;  0.090;  0.041;   0.99;   59;Terzan 4
262.77200;-29.98200;BH 229      ;HP 1      ;262.772;-29.982;  2.523;  0.039;-10.093;  0.037;   0.04;  0.124;  0.014;   0.93;   25;Cl VDBH 229
262.80000;-39.80800;FSR 1758    ;          ;262.800;-39.808; -2.881;  0.026;  2.519;  0.025;  -0.01;  0.122;  0.011;   4.05;  296;[FSR2007] 1758
262.97900;-67.04800;NGC 6362    ;          ;262.979;-67.048; -5.506;  0.024; -4.763;  0.024;   0.00;  0.136;  0.010;   3.02; 5678;NGC 6362
